"","title","author","subject","abstract","meta"
"75","Understanding high-index saddle dynamics via numerical analysis","Lei Zhang, Pingwen Zhang, Xiangcheng Zheng","Numerical Analysis (math.NA)","High-index saddle dynamics (HiSD) serves as a competitive instrument in searching the any-index saddle points and constructing the solution landscape of complex systems. The Lagrangian multiplier terms in HiSD ensure the Stiefel manifold constraint, which, however, are dropped in the commonly-used discrete HiSD scheme and are replaced by an additional Gram-Schmidt orthonormalization. Though this scheme has been successfully applied in various fields, it is still unclear why the above modification does not affect its effectiveness. We recover the same form as HiSD from this scheme, which not only leads to error estimates naturally, but indicates that the mechanism of Stiefel manifold preservation by Lagrangian multiplier terms in HiSD is nearly a Gram-Schmidt process (such that the above modification is appropriate). The developed methods are further extended to analyze the more complicated constrained HiSD on high-dimensional sphere, which reveals more mechanisms of the constrained HiSD in preserving several manifold properties.","Sat, 17 Feb 2024 13:40:54 UTC (258 KB)"
"76","Filtered Lie-Trotter splitting for the ""good"" Boussinesq equation: low regularity error estimates","Lun Ji, Hang Li, Alexander Ostermann, Chunmei Su","Numerical Analysis (math.NA)","We investigate a filtered Lie-Trotter splitting scheme for the ``good"" Boussinesq equation and derive an error estimate for initial data with very low regularity. Through the use of discrete Bourgain spaces, our analysis extends to initial data in $H^{s}$ for $0<s\leq 2$, overcoming the constraint of $s>1/2$ imposed by the bilinear estimate in smooth Sobolev spaces. We establish convergence rates of order $\tau^{s/2}$ in $L^2$ for such levels of regularity. Our analytical findings are supported by numerical experiments.","Sat, 17 Feb 2024 12:52:21 UTC (278 KB)"
"77","Treewidth versus clique number. IV. Tree-independence number of graphs excluding an induced star","Clément Dallard, Matjaž Krnc, O-joung Kwon, Martin Milanič, Andrea Munaro, Kenny Štorgel, Sebastian Wiederrecht","Combinatorics (math.CO)","Many recent works address the question of characterizing induced obstructions to bounded treewidth. In 2022, Lozin and Razgon completely answered this question for graph classes defined by finitely many forbidden induced subgraphs. Their result also implies a characterization of graph classes defined by finitely many forbidden induced subgraphs that are $(tw,\omega)$-bounded, that is, treewidth can only be large due to the presence of a large clique. This condition is known to be satisfied for any graph class with bounded tree-independence number, a graph parameter introduced independently by Yolov in 2018 and by Dallard, Milanič, and Štorgel in 2024. Dallard et al. conjectured that $(tw,\omega)$-boundedness is actually equivalent to bounded tree-independence number. We address this conjecture in the context of graph classes defined by finitely many forbidden induced subgraphs and prove it for the case of graph classes excluding an induced star. We also prove it for subclasses of the class of line graphs, determine the exact values of the tree-independence numbers of line graphs of complete graphs and line graphs of complete bipartite graphs, and characterize the tree-independence number of $P_4$-free graphs, which implies a linear-time algorithm for its computation. Applying the algorithmic framework provided in a previous paper of the series leads to polynomial-time algorithms for the Maximum Weight Independent Set problem in an infinite family of graph classes.","Sat, 17 Feb 2024 08:38:58 UTC (33 KB)[v2] Tue, 20 Feb 2024 14:55:58 UTC (33 KB)"
"78","Equivariant (co)module nuclearity of $C^*$-crossed products","Massoud Amini, Qing Meng","Operator Algebras (math.OA)","We define an equivariant and equicovariant versions of the notion of module nuclearity. More precisely, for a discrete group $\Gamma$ and operator $\mathcal A$-$\Gamma$-(co)module $\mathcal B$, $\mathcal E$ over a $\Gamma$-C$^*$-algebra $\mathcal A$, we define $\mathcal E$-$\Gamma$-nuclearity of $\mathcal B$, as an equivariant version of the notion of $\mathcal E$-nuclearity, in which the identity map on $\mathcal B$ is required to be approximately factored through matrix algebras on $\mathcal E$ with module structures coming both from the original module structure of $\mathcal E$ and the $\Gamma$-action on $\mathcal E$. For trivial actions of $\Gamma$, this is shown to reduce to the notion of module nuclearity, introduced and studied by the first author. As a concrete example, for a discrete group $\Gamma$ acting amenably on a unital C$^*$-algebra $\mathcal A$, we show that the reduced crossed product $\mathcal A\rtimes_{r} \Gamma$ is $\mathcal A$-$\Gamma$-nuclear. Conversely, if $\mathcal A$ is a nuclear C$^*$-algebra with a $\Gamma$-invariant state $\rho$ and $\mathcal A\rtimes_{r} \Gamma$ is $\mathcal A$-$\Gamma$-nuclear, then we deduce that $\Gamma$ is amenable. We show that when $\mathcal A\rtimes_{r} \Gamma$ is $\mathcal A$-$\Gamma$-nuclear and $\mathcal A$ has the completely bounded approximation property (resp., is exact), then so is $\mathcal A\rtimes_{r} \Gamma$. We prove similar results for $\mathcal A\rtimes_{r} \Gamma$, regarded as an $\mathcal A$-$\Gamma$-comodule.","Sat, 17 Feb 2024 07:34:05 UTC (13 KB)"
"79","An efficient preconditioner for a class of non-Hermitian two-by-two block complex system of linear equations","Owe Axelsson, Dovod Khojasteh Slakuyeh","Numerical Analysis (math.NA)","We present an efficient preconditioner for two-by-two block system of linear equations with the coefficient matrix $ \begin{pmatrix} F & -G^H G & F \end{pmatrix}$ where $F\in\mathbb{C}^{n\times n}$ is Hermitian positive definite and $G\in\mathbb{C}^{n\times n}$ is positive semidefinite. Spectral analysis of the preconditioned matrix is analyzed. In each iteration of a Krylov subspace method, like GMRES, for solving the preconditioned system in conjunction with proposed preconditioner two subsystems with Hermitian positive definite coefficient matrix should be solved which can be accomplished exactly using the Cholesky factorization or inexactly using the conjugate gradient method. Application of the proposed preconditioner to the systems arising from finite element discretization of PDE-constrained optimization problems is presented. Numerical results are given to demonstrate the efficiency of the preconditioner.","Sat, 17 Feb 2024 03:50:57 UTC (109 KB)"
"80","On a problem of E. Meckes for the unitary eigenvalue process on an arc","Liudmyla Kryvonos, Edward B. Saff","Probability (math.PR)","We study the problem originally communicated by E. Meckes on the asymptotics for the eigenvalues of the kernel of the unitary eigenvalue process of a random $n \times n$ matrix. The eigenvalues $p_{j}$ of the kernel are, in turn, associated with the discrete prolate spheroidal wave functions. We consider the eigenvalue counting function $|G(x,n)|:=\#\{j:p_j>Ce^{-x n}\}$, ($C>0$ here is a fixed constant) and establish the asymptotic behavior of its average over the interval $x \in (\lambda-\varepsilon, \lambda+\varepsilon)$ by relating the function $|G(x,n)|$ to the solution $J(y)$ of the following energy problem on the unit circle $S^{1}$, which is of independent interest. Namely, for given $\theta$, $0<\theta< 2 \pi$, and given $q$, $0<q<1$, we determine the function $J(y) =\inf \{I(\mu): \mu \in \mathcal{P}(S^{1}), \mu(A_{\theta}) = y\}$, where $I(\mu):= \iint \log\frac{1}{|z - \zeta|} d\mu(z) d\mu(\zeta)$ is the logarithmic energy of a probability measure $\mu$ supported on the unit circle and $A_{\theta}$ is the arc from $e^{-i \theta/2}$ to $e^{i \theta/2}$.","Fri, 16 Feb 2024 21:48:49 UTC (356 KB)"
"81","A Hessian-based energy-optimization study of morphoelasticity","Min Wu","Numerical Analysis (math.NA)","Morphoelasticity describes a family of nonlinear PDE system and has been widely applied to understand growth and morphogenesis in living and nonliving structures. Most previous studies depend on locally linearizing either the PDE system or its discretized numerical counterpart. This involves conducting a linear stability analysis for a trivial solution or utilizing Newton-Raphson iteration on the force residual equations derived from finite element approximation, respectively. The paper presents a numerical approach that frames the search for solutions as the optimization of a discretized energy functional, similar to Tallinen et al., PRL, 2013. In contrast to Tallinen et al., we utilize the Hessian matrix of the energy to develop a gradient descent algorithm that ensures energy stability, which allows us to search solutions robustly in different types of bifurcations. The solutions are further refined locally by Newton-Raphson iterations. We showcase the effectiveness of our approach by studying shape transitions induced by the growth in the interior layer of a bilayer annulus, with the outer layer constrained at its outermost boundary. By investigating three cases with varying elastic-moduli ratios between the two layers, we illustrate that our new method can not only identify and characterize supercritical bifurcations leading to smooth wrinkles but also capture subcritical transitions from smooth solutions to non-smooth crease-forming solutions. Moreover, it reveals aperiodic solutions, both smooth and non-smooth, that have not been previously reported.","Mon, 29 Jan 2024 02:25:32 UTC (16,772 KB)"
"82","A comparative study of explicit and implicit Large Eddy Simulations using a high-order discontinuous Galerkin solver: application to a Formula 1 front wing","Gerasimos Ntoukas, Gonzalo Rubio, Oscar Marino, Alexandra Liosi, Francesco Bottone, Julien Hoessler, Esteban Ferrer","Numerical Analysis (math.NA)","This paper explores two Large Eddy Simulation (LES) approaches within the framework of the high-order discontinuous Galerkin solver, Horses3D. The investigation focuses on an Inverted Multi-element Wing in Ground Effect (i.e. 2.5D Imperial Front Wing section) representing a Formula 1 front wing, and compares the strengths and limitations of the two LES methods. The explicit LES formulation relies on the Vreman model, that adapts to laminar, transitional and turbulent regimes. The numerical formulation uses nodal basis functions and Gauss points. The implicit LES formulation, does not require explicit turbulence modeling but relies in the discretization scheme. We use the Kennedy-Gruber entropy stable formulation to enhance stability in under resolved simulations, since we recover the continuous properties such as entropy conservation at a discrete level. This formulation employs Gauss-Lobatto points, which downgrades the accuracy of integration but allows for larger time steps in explicit time integration. We compare our results to Nektar++ [1] showing that both LES techniques provide results that agree well with the reference values. The implicit LES shows to better capture transition and allows for larger time steps at a similar cost per iteration. We conclude that this implicit LES formulation is very attractive for complex simulations.","Mon, 15 Jan 2024 14:59:13 UTC (37,480 KB)"
"83","On the quantum differential equations for a family of non-Kähler monotone symplectic manifolds","Kai Hugtenburg","Symplectic Geometry (math.SG)","In this paper we prove Gamma Conjecture $1$ for twistor bundles of hyperbolic $6$ manifolds, which are monotone symplectic manifolds which admit no Kähler structure. The proof involves a direct computation of the $J$-function, and a version of Laplace's method for estimating power series (as opposed to integrals). This method allows us to rephrase Gamma Conjecture $1$ in certain situations to an Apéry-like discrete limit. We use this to give a simple proof of Gamma Conjecture $1$ for projective spaces. Additionally we show that the quantum connections of the twistor bundles we consider have unramified exponential type.","Fri, 16 Feb 2024 18:03:44 UTC (30 KB)"
"84","Totally ramified subfields of $p$-Algebras","Adam Chapman, S. Srimathy","Rings and Algebras (math.RA)","We conjecture that a $p$-algebra over a complete discrete valued field $K$ contains a totally ramified purely inseparable subfield if and only if it contains a totally ramified cyclic maximal subfield. We prove the conjecture in several cases.","Fri, 16 Feb 2024 17:00:14 UTC (9 KB)"
"85","Linkage of Pfister forms over semi-global fields","Nicolas Daans","Number Theory (math.NT)","We study linkage of $(d+1)$-fold quadratic Pfister forms over function fields in one variable over a henselian valued field of 2-cohomological dimension $d$. Specifically, we characterise this property in terms of linkage of quadratic Pfister forms over function fields over the residue field of the henselian valued field; in full generality in characteristic different from 2, and for most complete discretely valued fields in characteristic 2. As an application, we obtain a proof that $(d+2)$-fold quadratic Pfister forms over function fields in one variable over a $d$-dimensional higher local field are linked.","Fri, 16 Feb 2024 16:54:15 UTC (25 KB)"
"86","Asymptotic isospectrality of Schrödinger operators on periodic graphs","Natalia Saburova","Spectral Theory (math.SP)","We consider discrete Schrödinger operators with periodic potentials on periodic graphs. Their spectra consist of a finite number of bands. We perturb a periodic graph by adding edges in a periodic way (without changing the vertex set) and show that if the length of the added edges tends to infinity, then the perturbed graph is asymptotically isospectral to some periodic graph of a higher dimension but without long edges. We also obtain a criterion for the perturbed graph to be not only asymptotically isospectral but just isospectral to this higher dimensional periodic graph. One of the simplest examples of such asymptotically isospectral periodic graphs is the square lattice perturbed by long edges and the cubic lattice. We also get asymptotics of the endpoints of the spectral bands for the Schrödinger operator on the perturbed graph as the length of the added edges tends to infinity.","Fri, 16 Feb 2024 16:03:24 UTC (80 KB)"
"87","Gauss-Newton Natural Gradient Descent for Physics-Informed Computational Fluid Dynamics","Anas Jnini, Flavio Vella, Marius Zeinhofer","Optimization and Control (math.OC)","We propose Gauss-Newton's method in function space for the solution of the Navier-Stokes equations in the physics-informed neural network (PINN) framework. Upon discretization, this yields a natural gradient method that provably mimics the function space dynamics. Our computational results demonstrate close to single-precision accuracy measured in relative $L^2$ norm on a number of benchmark problems. To the best of our knowledge, this constitutes the first contribution in the PINN literature that solves the Navier-Stokes equations to this degree of accuracy. Finally, we show that given a suitable integral discretization, the proposed optimization algorithm agrees with Gauss-Newton's method in parameter space. This allows a matrix-free formulation enabling efficient scalability to large network sizes.","Fri, 16 Feb 2024 13:34:28 UTC (5,212 KB)"
"88","A note on weak compactness of occupation measures for an absorbing Markov decision process","François Dufour, Tomás Prieto-Rumeau","Probability (math.PR)","We consider an absorbing Markov decision process with a discrete time parameter with Borel state and action spaces. We prove that the set of occupation measures is compact for the weak topology if and only if the control model is uniformly absorbing.","Fri, 16 Feb 2024 13:24:33 UTC (11 KB)"
"89","Yoneda lemma and representation theorem for double categories","Benedikt Fröhlich, Lyne Moser","Category Theory (math.CT)","We study (vertically) normal lax double functors valued in the weak double category $\mathbb{C}\mathrm{at}$ of small categories, functors, profunctors and natural transformations, which we refer to as lax double presheaves. We show that for the theory of double categories they play a similar role as 2-functors valued in $\mathrm{Cat}$ for 2-categories. We first introduce representable lax double presheaves and establish a Yoneda lemma. Then we build a Grothendieck construction which gives a 2-equivalence between lax double presheaves and discrete double fibrations over a fixed double category. Finally, we prove a representation theorem showing that a lax double presheaf is represented by an object if and only if its Grothendieck construction has a double terminal object.","Fri, 16 Feb 2024 12:40:13 UTC (50 KB)"
"90","A mortar method for the coupled Stokes-Darcy problem using the MAC scheme for Stokes and mixed finite elements for Darcy","Wietse M. Boon, Dennis Gläser, Rainer Helmig, Kilian Weishaupt, Ivan Yotov","Numerical Analysis (math.NA)","A discretization method with non-matching grids is proposed for the coupled Stokes-Darcy problem that uses a mortar variable at the interface to couple the marker and cell (MAC) method in the Stokes domain with the Raviart-Thomas mixed finite element pair in the Darcy domain. Due to this choice, the method conserves linear momentum and mass locally in the Stokes domain and exhibits local mass conservation in the Darcy domain. The MAC scheme is reformulated as a mixed finite element method on a staggered grid, which allows for the proposed scheme to be analyzed as a mortar mixed finite element method. We show that the discrete system is well-posed and derive a priori error estimates that indicate first order convergence in all variables. The system can be reduced to an interface problem concerning only the mortar variables, leading to a non-overlapping domain decomposition method. Numerical examples are presented to illustrate the theoretical results and the applicability of the method.","Fri, 16 Feb 2024 12:00:54 UTC (8,711 KB)"
"91","On Simplices with a Given Barycenter That Are Enclosed by the Standard Simplex","Brent Austgen, John J. Hasenbein, Erhan Kutanoglu","Optimization and Control (math.OC)","We present an optimization model defined on the manifold of the set of stochastic matrices. Geometrically, the model is akin to identifying a maximum-volume $n$-dimensional simplex that has a given barycenter and is enclosed by the $n$-dimensional standard simplex. Maximizing the volume of a simplex is equivalent to maximizing the determinant of its corresponding matrix. In our model, we employ trace maximization as a linear alternative to determinant maximization. We identify the analytical form of a solution to this model. We prove the solution is optimal and present necessary and sufficient conditions for it to be the unique optimal solution. Additionally, we show the identified optimal solution is an inverse $M$-matrix, and that its eigenvalues are the same as its diagonal entries. We demonstrate how the model and its solutions apply to the task of synthesizing conditional cumulative distribution functions (CDFs) that, in tandem with a given discrete marginal distribution, coherently preserve a given CDF.","Fri, 16 Feb 2024 11:23:54 UTC (1,179 KB)[v2] Tue, 20 Feb 2024 20:47:01 UTC (1,153 KB)"
"92","Pressure-stabilized fixed-stress iterative solutions of compositional poromechanics","Ryan M. Aronson, Nicola Castelletto, François P. Hamon, J. A. White, Hamdi A. Tchelepi","Numerical Analysis (math.NA)","We consider the numerical behavior of the fixed-stress splitting method for coupled poromechanics as undrained regimes are approached. We explain that pressure stability is related to the splitting error of the scheme, not the fact that the discrete saddle point matrix never appears in the fixed-stress approach. This observation reconciles previous results regarding the pressure stability of the splitting method. Using examples of compositional poromechanics with application to geological CO$_2$ sequestration, we see that solutions obtained using the fixed-stress scheme with a low order finite element-finite volume discretization which is not inherently inf-sup stable can exhibit the same pressure oscillations obtained with the corresponding fully implicit scheme. Moreover, pressure jump stabilization can effectively remove these spurious oscillations in the fixed-stress setting, while also improving the efficiency of the scheme in terms of the number of iterations required at every time step to reach convergence.","Fri, 16 Feb 2024 06:21:02 UTC (5,973 KB)"
"93","Efficient Sampling on Riemannian Manifolds via Langevin MCMC","Xiang Cheng, Jingzhao Zhang, Suvrit Sra","Statistics Theory (math.ST)","We study the task of efficiently sampling from a Gibbs distribution $d \pi^* = e^{-h} d {vol}_g$ over a Riemannian manifold $M$ via (geometric) Langevin MCMC; this algorithm involves computing exponential maps in random Gaussian directions and is efficiently implementable in practice. The key to our analysis of Langevin MCMC is a bound on the discretization error of the geometric Euler-Murayama scheme, assuming $\nabla h$ is Lipschitz and $M$ has bounded sectional curvature. Our error bound matches the error of Euclidean Euler-Murayama in terms of its stepsize dependence. Combined with a contraction guarantee for the geometric Langevin Diffusion under Kendall-Cranston coupling, we prove that the Langevin MCMC iterates lie within $\epsilon$-Wasserstein distance of $\pi^*$ after $\tilde{O}(\epsilon^{-2})$ steps, which matches the iteration complexity for Euclidean Langevin MCMC. Our results apply in general settings where $h$ can be nonconvex and $M$ can have negative Ricci curvature. Under additional assumptions that the Riemannian curvature tensor has bounded derivatives, and that $\pi^*$ satisfies a $CD(\cdot,\infty)$ condition, we analyze the stochastic gradient version of Langevin MCMC, and bound its iteration complexity by $\tilde{O}(\epsilon^{-2})$ as well.","Thu, 15 Feb 2024 22:59:14 UTC (96 KB)"
"94","Wavelet compressed, modified Hilbert transform in the space-time discretization of the heat equation","Helmut Harbrecht, Christoph Schwab, Marco Zank","Numerical Analysis (math.NA)","On a finite time interval $(0,T)$, we consider the multiresolution Galerkin discretization of a modified Hilbert transform $\mathcal H_T$ which arises in the space-time Galerkin discretization of the linear diffusion equation. To this end, we design spline-wavelet systems in $(0,T)$ consisting of piecewise polynomials of degree $\geq 1$ with sufficiently many vanishing moments which constitute Riesz bases in the Sobolev spaces $ H^{s}_{0,}(0,T)$ and $ H^{s}_{,0}(0,T)$. These bases provide multilevel splittings of the temporal discretization spaces into ""increment"" or ""detail"" spaces of direct sum type. Via algebraic tensor-products of these temporal multilevel discretizations with standard, hierarchic finite element spaces in the spatial domain (with standard Lagrangian FE bases), sparse space-time tensor-product spaces are obtained, which afford a substantial reduction in the number of the degrees of freedom as compared to time-marching discretizations. In addition, temporal spline-wavelet bases allow to compress certain nonlocal integrodifferential operators which appear in stable space-time variational formulations of initial-boundary value problems, such as the heat equation and the acoustic wave equation. An efficient preconditioner is proposed that affords linear complexity solves of the linear system of equations which results from the sparse space-time Galerkin discretization.","Thu, 15 Feb 2024 22:29:07 UTC (206 KB)"
"95","Effective module lattices and their shortest vectors","Nihar Gargava, Vlad Serban, Maryna Viazovska, Ilaria Viglino","Number Theory (math.NT)","We prove tight probabilistic bounds for the shortest vectors in module lattices over number fields using the results of arXiv:2308.15275. Moreover, establishing asymptotic formulae for counts of fixed rank matrices with algebraic integer entries and bounded Euclidean length, we prove an approximate Rogers integral formula for discrete sets of module lattices obtained from lifts of algebraic codes. This in turn implies that the moment estimates of arXiv:2308.15275 as well as the aforementioned bounds on the shortest vector also carry through for large enough discrete sets of module lattices.","Thu, 15 Feb 2024 20:13:15 UTC (50 KB)"
"96","Comparison of variational discretizations for a convection-diffusion problem","Constantin Bacuta, Cristina Bacuta, Daniel Hayes","Numerical Analysis (math.NA)","For a model convection-diffusion problem, we obtain new error estimates for a general upwinding finite element discretization based on bubble modification of the test space. The key analysis tool is based on finding representations of the optimal norms on the trial spaces at the continuous and discrete levels. We analyze and compare the standard linear discretization, the saddle point least square and upwinding Petrov-Galerkin methods. We conclude that the bubble upwinding Petrov-Galerkin method is the most performant discretization for the one dimensional model. Our results for the model convection-diffusion problem can be extended for creating new and efficient discretizations for the multidimensional cases.","Thu, 15 Feb 2024 19:16:23 UTC (24 KB)"
"97","Explicit large $N$ von Neumann algebras from matrix models","Elliott Gesteau, Leonardo Santilli","High Energy Physics - Theory (hep-th)","We construct a large family of quantum mechanical systems that give rise to an emergent type III$_1$ von Neumann algebra in the large $N$ limit. Their partition functions are matrix integrals that appear in the study of various gauge theories. We calculate the real-time, finite temperature correlation functions in these systems and show that they are described by an emergent type III$_1$ von Neumann algebra at large $N$. The spectral density underlying this algebra is computed in closed form in terms of the eigenvalue density of a discrete matrix model. Furthermore, we explain how to systematically promote these theories to systems with a Hagedorn transition, and show that a type III$_1$ algebra only emerges above the Hagedorn temperature. Finally, we empirically observe in examples a correspondence between the space of states of the quantum mechanics and Calabi--Yau manifolds.","Thu, 15 Feb 2024 19:00:00 UTC (916 KB)"
"98","Integer Optimization of CT Trajectories using a Discrete Data Completeness Formulation","Linda-Sophie Schneider, Gabriel Herl, Andreas Maier","Robotics (cs.RO)","X-ray computed tomography (CT) plays a key role in digitizing three-dimensional structures for a wide range of medical and industrial applications. Traditional CT systems often rely on standard circular and helical scan trajectories, which may not be optimal for challenging scenarios involving large objects, complex structures, or resource constraints. In response to these challenges, we are exploring the potential of twin robotic CT systems, which offer the flexibility to acquire projections from arbitrary views around the object of interest. Ensuring complete and mathematically sound reconstructions becomes critical in such systems. In this work, we present an integer programming-based CT trajectory optimization method. Utilizing discrete data completeness conditions, we formulate an optimization problem to select an optimized set of projections. This approach enforces data completeness and considers absorption-based metrics for reliability evaluation. We compare our method with an equidistant circular CT trajectory and a greedy approach. While greedy already performs well in some cases, we provide a way to improve greedy-based projection selection using an integer optimization approach. Our approach improves CT trajectories and quantifies the optimality of the solution in terms of an optimality gap.","Mon, 29 Jan 2024 10:38:58 UTC (3,828 KB)"
"99","A Blob Method for Mean Field Control With Terminal Constraints","Katy Craig, Karthik Elamvazhuthi, Harlin Lee","Optimization and Control (math.OC)","In the present work, we develop a novel particle method for a general class of mean field control problems, with source and terminal constraints. Specific examples of the problems we consider include the dynamic formulation of the p-Wasserstein metric, optimal transport around an obstacle, and measure transport subject to acceleration controls. Unlike existing numerical approaches, our particle method is meshfree and does not require global knowledge of an underlying cost function or of the terminal constraint. A key feature of our approach is a novel way of enforcing the terminal constraint via a soft, nonlocal approximation, inspired by recent work on blob methods for diffusion equations. We prove convergence of our particle approximation to solutions of the continuum mean-field control problem in the sense of Gamma-convergence. A byproduct of our result is an extension of existing discrete-to-continuum convergence results for mean field control problems to more general state and measure costs, as arise when modeling transport around obstacles, and more general constraint sets, including controllable linear time invariant systems. Finally, we conclude by implementing our method numerically and using it to compute solutions the example problems discussed above. We conduct a detailed numerical investigation of the convergence properties of our method, as well as its behavior in sampling applications and for approximation of optimal transport maps.","Thu, 15 Feb 2024 17:21:42 UTC (6,105 KB)"
"100","Cohomology groups with compact support for flat line bundles on certain complex Lie groups","Takayuki Koike, Jinichiro Tanaka","Complex Variables (math.CV)","Let $X$ be a complex surface obtained as the quotient of the complex Euclidean space $\mathbb{C}^2$ by a discrete subgroup of rank $3$. We investigate the cohomology group $H_0^1(X, E)$ with compact support for a unitary flat line bundle $E$ over $X$. We show the vanishing of $H_0^1(X, E)$ for a certain class of such pairs $(X, E)$, which includes infinitely many examples such that $H^1(X, E)$ is non-Hausdorff and infinite dimensional.","Thu, 15 Feb 2024 16:33:55 UTC (14 KB)"
"101","Schauder frames of discrete translates in $L^p(\mathbb{R})$","Nir Lev, Anton Tselishchev","Classical Analysis and ODEs (math.CA)","We prove for every $p > (1 + \sqrt{5})/2$ the following result, obtained earlier for $p \ge 2$. There exist a uniformly discrete real sequence $\{\lambda_n\}_{n=1}^\infty$ with $|\lambda_{n+1}| > |\lambda_n|$, a function $g \in L^p(\mathbb{R})$, and continuous linear functionals $\{g^*_n\}$ on $L^p(\mathbb{R})$, such that every $f \in L^p(\mathbb{R})$ admits a series expansion \[ f(x) = \sum_{n=1}^{\infty} g_n^*(f) g(x-\lambda_n) \] convergent in the $L^p(\mathbb{R})$ norm.","Thu, 15 Feb 2024 12:39:47 UTC (13 KB)"
"102","Conjugacy properties of multivariate unified skew-elliptical distributions","Maicon J. Karling, Daniele Durante, Marc G. Genton","Methodology (stat.ME)","The broad class of multivariate unified skew-normal (SUN) distributions has been recently shown to possess fundamental conjugacy properties. When used as priors for the vector of parameters in general probit, tobit, and multinomial probit models, these distributions yield posteriors that still belong to the SUN family. Although such a core result has led to important advancements in Bayesian inference and computation, its applicability beyond likelihoods associated with fully-observed, discretized, or censored realizations from multivariate Gaussian models remains yet unexplored. This article covers such an important gap by proving that the wider family of multivariate unified skew-elliptical (SUE) distributions, which extends SUNs to more general perturbations of elliptical densities, guarantees conjugacy for broader classes of models, beyond those relying on fully-observed, discretized or censored Gaussians. Such a result leverages the closure under linear combinations, conditioning and marginalization of SUE to prove that such a family is conjugate to the likelihood induced by general multivariate regression models for fully-observed, censored or dichotomized realizations from skew-elliptical distributions. This advancement substantially enlarges the set of models that enable conjugate Bayesian inference to general formulations arising from elliptical and skew-elliptical families, including the multivariate Student's t and skew-t, among others.","Thu, 15 Feb 2024 09:59:23 UTC (40 KB)"
"103","On the discrete-time origins of replicator dynamics: from convergence to instability and chaos","Fryderyk Falniowski, Panayotis Mertikopoulos","Dynamical Systems (math.DS)","We consider three distinct discrete-time models of learning and evolution in games: a biological model based on intra-species selective pressure, the dynamics induced by pairwise proportional imitation, and the exponential / multiplicative weights algorithm for online learning. Even though these models share the same continuous-time limit - the replicator dynamics - we show that second-order effects play a crucial role and may lead to drastically different behaviors in each model, even in very simple, symmetric two by two games. Specifically, we study the resulting discrete-time dynamics in a class of parametrized congestion games, and we show that (i) in the biological model of intra-species competition, the dynamics remain convergent for any parameter value; (ii) the dynamics of pairwise proportional imitation for different equilibrium configurations exhibit an entire range of behaviors for large step size (stability, instability, and even Li-Yorke chaos); while (iii) for the exponential / multiplicative weights (EW) algorithm increasing step size will (almost) inevitably lead to chaos (again, in the formal, Li-Yorke sense). This divergence of behaviors comes in stark contrast to the globally convergent behavior of the replicator dynamics, and serves to delineate the extent to which the replicator dynamics provide a useful predictor for the long-run behavior of their discrete-time origins.","Thu, 15 Feb 2024 09:40:34 UTC (396 KB)"
"104","A Péclet-robust discontinuous Galerkin method for nonlinear diffusion with advection","Lourenço Beirão da Veiga, Daniele A. Di Pietro, Kirubell B. Haile","Numerical Analysis (math.NA)","We analyze a Discontinuous Galerkin method for a problem with linear advection-reaction and $p$-type diffusion, with Sobolev indices $p\in (1, \infty)$. The discretization of the diffusion term is based on the full gradient including jump liftings and interior-penalty stabilization while, for the advective contribution, we consider a strengthened version of the classical upwind scheme. The developed error estimates track the dependence of the local contributions to the error on local Péclet numbers. A set of numerical tests supports the theoretical derivations.","Thu, 15 Feb 2024 09:28:06 UTC (260 KB)"
"105","Advanced fuel fusion, phase space engineering, and structure-preserving geometric algorithms","Hong Qin","Plasma Physics (physics.plasm-ph)","Non-thermal advanced fuel fusion trades the requirement of a large amount of recirculating tritium in the system for that of large recirculating power. Phase space engineering technologies utilizing externally injected electromagnetic fields can be applied to meet the challenge of maintaining non-thermal particle distributions at a reasonable cost. The physical processes of the phase space engineering are studied from a theoretical and algorithmic perspective. It is emphasized that the operational space of phase space engineering is limited by the underpinning symplectic dynamics of charged particles. The phase space incompressibility according to the Liouville theorem is just one of many constraints, and Gromov's non-squeezing theorem determines the minimum footprints of the charged particles on every conjugate phase space plane. In this sense and level of sophistication, the mathematical abstraction of phase space engineering is symplectic topology. To simulate the processes of phase space engineering, such as the Maxwell demon and electromagnetic energy extraction, and to accurately calculate the minimum footprints of charged particles, recently developed structure-preserving geometric algorithms can be used. The family of algorithms conserves exactly, on discretized spacetime, symplecticity and thus incompressibility, non-squeezability, and symplectic capacities. The algorithms apply to the dynamics of charged particles under the influence of external electromagnetic fields as well as the charged particle-electromagnetic field system governed by the Vlasov-Maxwell equations.","Wed, 14 Feb 2024 23:56:52 UTC (648 KB)"
